var VARnumber 1 1 1 3 
a IDnumber 1 1 5 5 
, COMMAnumber 1 1 6 6 
b IDnumber 1 1 8 8 
, COMMAnumber 1 1 9 9 
tmp IDnumber 1 1 11 13 
, COMMAnumber 1 1 14 14 
i IDnumber 1 1 16 16 
, COMMAnumber 1 1 17 17 
n IDnumber 1 1 19 19 
; SEMInumber 1 1 20 20 
begin BEGINnumber 2 2 9 13 
n IDnumber 3 3 13 13 
:= COLEQnumber 3 3 15 16 
3 ICONSTnumber 3 3 18 18 
a IDnumber 4 4 13 13 
:= COLEQnumber 4 4 15 16 
0 ICONSTnumber 4 4 18 18 
b IDnumber 5 5 13 13 
:= COLEQnumber 5 5 15 16 
1 ICONSTnumber 5 5 18 18 
if IFnumber 7 7 13 14 
n IDnumber 7 7 16 16 
<= LEQnumber 7 7 18 19 
1 ICONSTnumber 7 7 21 21 
then THENnumber 7 7 23 26 
fibResult IDnumber 8 8 17 25 
:= COLEQnumber 8 8 27 28 
n IDnumber 8 8 30 30 
else ELSEnumber 9 9 13 16 
begin BEGINnumber 10 10 13 17 
i IDnumber 11 11 17 17 
:= COLEQnumber 11 11 19 20 
2 ICONSTnumber 11 11 22 22 
while WHILEnumber 12 12 17 21 
i IDnumber 12 12 23 23 
<= LEQnumber 12 12 25 26 
n IDnumber 12 12 28 28 
do IDnumber 12 12 30 31 
begin BEGINnumber 13 13 17 21 
write IDnumber 14 14 21 25 
a IDnumber 14 14 27 27 
; SEMInumber 14 14 28 28 
tmp IDnumber 15 15 21 23 
:= COLEQnumber 15 15 25 26 
a IDnumber 15 15 28 28 
+ PLUSnumber 15 15 30 30 
b IDnumber 15 15 32 32 
; SEMInumber 15 15 33 33 
a IDnumber 16 16 21 21 
:= COLEQnumber 16 16 23 24 
b IDnumber 16 16 26 26 
; SEMInumber 16 16 27 27 
b IDnumber 17 17 21 21 
:= COLEQnumber 17 17 23 24 
tmp IDnumber 17 17 26 28 
; SEMInumber 17 17 29 29 
i IDnumber 18 18 21 21 
:= COLEQnumber 18 18 23 24 
i IDnumber 18 18 26 26 
+ PLUSnumber 18 18 28 28 
1 ICONSTnumber 18 18 30 30 
end ENDnumber 19 19 17 19 
; SEMInumber 19 19 20 20 
fibResult IDnumber 21 21 17 25 
:= COLEQnumber 21 21 27 28 
a IDnumber 21 21 30 30 
end ENDnumber 22 22 13 15 
end ENDnumber 23 23 9 11 
; SEMInumber 23 23 12 12 
